attribute_id,pixID,attribute,value_id,value,DefaultValue,SiteFlowAttribute,SiteFlowVal
1,PIXATT.001,paper,820,woodfree_80,woodfree_80,paper,woodfree_80
1,PIXATT.001,paper,822,chromo_matte_300,chromo_matte_300,substrate,matte
1,PIXATT.001,paper,822,chromo_matte_300,chromo_matte_300,substrateWeight,300
1,PIXATT.001,paper,823,chromo_glossy_300,chromo_matte_300,paper,chromo_glossy_300
1,PIXATT.001,paper,824,chromo_matte_220,chromo_matte_300,paper,chromo_matte_220
1,PIXATT.001,paper,825,chromo_glossy_220,chromo_matte_300,paper,chromo_glossy_220
1,PIXATT.001,paper,826,chromo_matte_170,chromo_matte_135,paper,chromo_matte_170
1,PIXATT.001,paper,827,chromo_glossy_170,chromo_matte_135,paper,chromo_glossy_170
1,PIXATT.001,paper,828,chromo_matte_135,chromo_matte_135,paper,chromo_matte_135
1,PIXATT.001,paper,829,chromo_glossy_135,chromo_matte_135,paper,chromo_glossy_135
1,PIXATT.001,paper,833,twill_250,chromo_matte_300,paper,twill_250
1,PIXATT.001,paper,847,kappa_10,kappa_10,paper,kappa_10
1,PIXATT.001,paper,923,poster_170,poster_170,paper,poster_170
1,PIXATT.001,paper,991,ecological,chromo_matte_300,paper,ecological
1,PIXATT.001,paper,1333,chromo_matte_350,chromo_matte_350,paper,chromo_matte_350
1,PIXATT.001,paper,1386,felix_schoeller_220g,felix_schoeller_220g,paper,felix_schoeller_220g
1,PIXATT.001,paper,1389,majestic_white_300,chromo_matte_350,paper,majestic_white_300
1,PIXATT.001,paper,1461,sticker_polypropylene,sticker_polypropylene,paper,sticker_polypropylene
1,PIXATT.001,paper,1462,sticker_paper,sticker_polypropylene,paper,sticker_paper
1,PIXATT.001,paper,1525,chromo_matte_250g,chromo_matte_250g,paper,chromo_matte_250g
2,PIXATT.002,format,765,front_small,front_small,format,front_small
2,PIXATT.002,format,834,horizontal,horizontal,format,horizontal
2,PIXATT.002,format,835,vertical,horizontal,format,vertical
2,PIXATT.002,format,852,front_big,front_small,format,front_big
2,PIXATT.002,format,853,front_small_back,front_small,format,front_small_back
2,PIXATT.002,format,854,front_big_back,front_small,format,front_big_back
2,PIXATT.002,format,855,back,front_small,format,back
2,PIXATT.002,format,929,square,horizontal,format,square
2,PIXATT.002,format,1580,roll_sticker_circle,roll_sticker_circle,format,roll_sticker_circle
2,PIXATT.002,format,1581,roll_sticker_rectangle,roll_sticker_circle,format,roll_sticker_rectangle
2,PIXATT.002,format,1582,roll_sticker_ellipse,roll_sticker_circle,format,roll_sticker_ellipse
2,PIXATT.002,format,1583,roll_sticker_square,roll_sticker_circle,format,roll_sticker_square
2,PIXATT.002,format,1584,roll_sticker_hexagon,roll_sticker_circle,format,roll_sticker_hexagon
2,PIXATT.002,format,1585,roll_sticker_label,roll_sticker_circle,format,roll_sticker_label
2,PIXATT.002,format,1608,star,roll_sticker_circle,format,star
3,PIXATT.003,pages,976,calendar_14,calendar_14,pages,calendar_14
3,PIXATT.003,pages,1054,notebook_pages_40,notebook_pages_40,pages,notebook_pages_40
3,PIXATT.003,pages,1056,notebook_pages_80,notebook_pages_40,pages,notebook_pages_80
3,PIXATT.003,pages,1057,notebook_spiral_pages_40,notebook_spiral_pages_40,pages,notebook_spiral_pages_40
3,PIXATT.003,pages,1058,notebook_spiral_pages_80,notebook_spiral_pages_40,pages,notebook_spiral_pages_80
3,PIXATT.003,pages,1531,booklets_12,booklets_12,pages,booklets_12
3,PIXATT.003,pages,1532,booklets_16,booklets_12,pages,booklets_16
3,PIXATT.003,pages,1533,booklets_20,booklets_12,pages,booklets_20
3,PIXATT.003,pages,1534,booklets_24,booklets_12,pages,booklets_24
3,PIXATT.003,pages,1535,booklets_28,booklets_12,pages,booklets_28
3,PIXATT.003,pages,1536,booklets_32,booklets_12,pages,booklets_32
3,PIXATT.003,pages,1537,booklets_36,booklets_12,pages,booklets_36
3,PIXATT.003,pages,1538,booklets_40,booklets_12,pages,booklets_40
3,PIXATT.003,pages,1539,booklets_44,booklets_12,pages,booklets_44
4,PIXATT.004,colors,794,print_color_black,print_color_black,colors,print_color_black
4,PIXATT.004,colors,795,print_color_silver,print_color_black,colors,print_color_silver
4,PIXATT.004,colors,796,print_color_white,print_color_black,colors,print_color_white
4,PIXATT.004,colors,1400,print_color_colorful,print_color_colorful,colors,print_color_colorful
5,PIXATT.005,pattern_inner_pages,1061,notebook_inner_blank,notebook_inner_lines,pattern_inner_pages,notebook_inner_blank
5,PIXATT.005,pattern_inner_pages,1062,notebook_inner_lines,notebook_inner_lines,pattern_inner_pages,notebook_inner_lines
5,PIXATT.005,pattern_inner_pages,1063,notebook_inner_grid,notebook_inner_lines,pattern_inner_pages,notebook_inner_grid
6,PIXATT.006,lamination,842,lamination_1side_matte,lamination_1side_matte,lamination,lamination_1side_matte
6,PIXATT.006,lamination,843,lamination_2sides_matte,lamination_2sides_matte,lamination,lamination_2sides_matte
6,PIXATT.006,lamination,844,lamination_1side_glossy,lamination_1side_matte,lamination,lamination_1side_glossy
6,PIXATT.006,lamination,845,lamination_2sides_glossy,lamination_2sides_matte,lamination,lamination_2sides_glossy
6,PIXATT.006,lamination,933,lamination_no,lamination_2sides_matte,lamination,lamination_no
6,PIXATT.006,lamination,1026,lamination_2sides_premium,lamination_2sides_matte,lamination,lamination_2sides_premium
7,PIXATT.007,round_corners,804,round_corners_yes,round_corners_yes,round_corners,round_corners_yes
7,PIXATT.007,round_corners,805,round_corners_no,round_corners_yes,round_corners,round_corners_no
13,PIXATT.013,production_time,754,budget,budget,production_time,budget
13,PIXATT.013,production_time,755,standard,budget,production_time,standard
13,PIXATT.013,production_time,756,express,budget,production_time,express
13,PIXATT.013,production_time,1134,industrial,budget,production_time,industrial
13,PIXATT.013,production_time,1548,vocational,industrial,production_time,vocational
14,PIXATT.014,size,760,envelope_11x23,envelope_11x23,size,envelope_11x23
14,PIXATT.014,size,761,envelope_16x23_7,envelope_11x23,size,envelope_16x23_7
14,PIXATT.014,size,817,a4,a4,size,a4
14,PIXATT.014,size,818,a5,a5,size,a5
14,PIXATT.014,size,836,business_card_85x55,business_card_90x50,size,business_card_85x55
14,PIXATT.014,size,837,business_card_90x50,business_card_90x50,size,business_card_90x50
14,PIXATT.014,size,838,poster_100_70,poster_a4,size,poster_100_70
14,PIXATT.014,size,839,poster_70_50,poster_a4,size,poster_70_50
14,PIXATT.014,size,840,poster_80_60,poster_a4,size,poster_80_60
14,PIXATT.014,size,875,envelope_23x33_5,envelope_11x23,size,envelope_23x33_5
14,PIXATT.014,size,876,rollup_85x200,rollup_85x200,size,rollup_85x200
14,PIXATT.014,size,877,rollup_85x100,rollup_85x200,size,rollup_85x100
14,PIXATT.014,size,878,rollup_150x200,rollup_85x200,size,rollup_150x200
14,PIXATT.014,size,888,rollup_a4,rollup_85x200,size,rollup_a4
14,PIXATT.014,size,889,rollup_a3,rollup_85x200,size,rollup_a3
14,PIXATT.014,size,890,postcard_10x15,postcard_10x15,size,postcard_10x15
14,PIXATT.014,size,894,memo_10x10,memo_10x10,size,memo_10x10
14,PIXATT.014,size,911,folder_460x320,folder_460x320,size,folder_460x320
14,PIXATT.014,size,916,a4_folded,a4_folded,size,a4_folded
14,PIXATT.014,size,917,a5_folded,a4_folded,size,a5_folded
14,PIXATT.014,size,918,beermat_square_9x9,beermat_square_9x9,size,beermat_square_9x9
14,PIXATT.014,size,919,beermat_circle_9,beermat_square_9x9,size,beermat_circle_9
14,PIXATT.014,size,920,door_hanger_100x270,door_hanger_100x270,size,door_hanger_100x270
14,PIXATT.014,size,921,door_hanger_125x300,door_hanger_100x270,size,door_hanger_125x300
14,PIXATT.014,size,922,door_hanger_120x400,door_hanger_100x270,size,door_hanger_120x400
14,PIXATT.014,size,924,sticker_circle_3,sticker_circle_3,size,sticker_circle_3
14,PIXATT.014,size,925,sticker_circle_5,sticker_circle_3,size,sticker_circle_5
14,PIXATT.014,size,926,sticker_square_5,sticker_circle_3,size,sticker_square_5
14,PIXATT.014,size,927,art_print_30x30,art_print_30x30,size,art_print_30x30
14,PIXATT.014,size,928,art_print_40x40,art_print_30x30,size,art_print_40x40
14,PIXATT.014,size,931,a4_hor_with_bleed,a4_hor_with_bleed,size,a4_hor_with_bleed
14,PIXATT.014,size,932,a5_hor_with_bleed,a5_hor_with_bleed,size,a5_hor_with_bleed
14,PIXATT.014,size,936,art_print_a4,art_print_30x30,size,art_print_a4
14,PIXATT.014,size,937,art_print_a3,art_print_30x30,size,art_print_a3
14,PIXATT.014,size,938,art_print_50x70,art_print_30x30,size,art_print_50x70
14,PIXATT.014,size,939,art_print_60x80,art_print_30x30,size,art_print_60x80
14,PIXATT.014,size,940,art_print_70x100,art_print_30x30,size,art_print_70x100
14,PIXATT.014,size,941,poster_a4,poster_a4,size,poster_a4
14,PIXATT.014,size,942,poster_a3,poster_a4,size,poster_a3
14,PIXATT.014,size,943,block_size_a4,block_size_a4,size,block_size_a4
14,PIXATT.014,size,944,block_size_a3,block_size_a4,size,block_size_a3
14,PIXATT.014,size,945,a3_ver_with_bleed,a3_ver_with_bleed,size,a3_ver_with_bleed
14,PIXATT.014,size,962,towel_10x10,towel_10x10,size,towel_10x10
14,PIXATT.014,size,970,hat_8x8,hat_8x8,size,hat_8x8
14,PIXATT.014,size,981,a5_with_bleed,a5_with_bleed,size,a5_with_bleed
14,PIXATT.014,size,982,a4_with_bleed,a5_with_bleed,size,a4_with_bleed
14,PIXATT.014,size,983,banner_100x50,banner_100x50,size,banner_100x50
14,PIXATT.014,size,984,banner_150x100,banner_100x50,size,banner_150x100
14,PIXATT.014,size,986,banner_200x200,banner_100x50,size,banner_200x200
14,PIXATT.014,size,987,banner_300x50,banner_100x50,size,banner_300x50
14,PIXATT.014,size,988,banner_300x200,banner_100x50,size,banner_300x200
14,PIXATT.014,size,989,banner_400x300,banner_100x50,size,banner_400x300
14,PIXATT.014,size,990,business_card_65x65,business_card_90x50,size,business_card_65x65
14,PIXATT.014,size,992,pen_45x10,pen_45x10,size,pen_45x10
14,PIXATT.014,size,993,candy_42x42,candy_42x42,size,candy_42x42
14,PIXATT.014,size,994,folded_postcard_20x15,folded_postcard_20x15,size,folded_postcard_20x15
14,PIXATT.014,size,995,magnet_5x5,magnet_5x5,size,magnet_5x5
14,PIXATT.014,size,996,magnet_9x5,magnet_5x5,size,magnet_9x5
14,PIXATT.014,size,997,magnet_10x10,magnet_5x5,size,magnet_10x10
14,PIXATT.014,size,998,magnet_10x15,magnet_5x5,size,magnet_10x15
14,PIXATT.014,size,999,magnet_a5,magnet_5x5,size,magnet_a5
14,PIXATT.014,size,1046,notebook_pin_a5,notebook_pin_a5,size,notebook_pin_a5
14,PIXATT.014,size,1047,notebook_pin_a4,notebook_pin_a5,size,notebook_pin_a4
14,PIXATT.014,size,1048,notebook_glue_40_a5,notebook_glue_40_a5,size,notebook_glue_40_a5
14,PIXATT.014,size,1049,notebook_glue_40_a4,notebook_glue_40_a5,size,notebook_glue_40_a4
14,PIXATT.014,size,1050,notebook_glue_80_a5,notebook_glue_40_a5,size,notebook_glue_80_a5
14,PIXATT.014,size,1051,notebook_glue_80_a4,notebook_glue_40_a5,size,notebook_glue_80_a4
14,PIXATT.014,size,1052,notebook_spiral_a5,notebook_spiral_a5,size,notebook_spiral_a5
14,PIXATT.014,size,1053,notebook_spiral_a4,notebook_spiral_a5,size,notebook_spiral_a4
14,PIXATT.014,size,1064,block_size_a5_v,block_size_a5_v,size,block_size_a5_v
14,PIXATT.014,size,1065,block_size_a4_v,block_size_a5_v,size,block_size_a4_v
14,PIXATT.014,size,1066,nylon_bag_20x18,nylon_bag_20x18,size,nylon_bag_20x18
14,PIXATT.014,size,1067,mug_5x5,mug_5x5,size,mug_5x5
14,PIXATT.014,size,1068,neck_pillow_8.5x4,neck_pillow_8.5x4,size,neck_pillow_8.5x4
14,PIXATT.014,size,1069,headphones_5x5,headphones_5x5,size,headphones_5x5
14,PIXATT.014,size,1070,cellphone_sticky_pocket_4x5,cellphone_sticky_pocket_4x5,size,cellphone_sticky_pocket_4x5
14,PIXATT.014,size,1071,metal_pen_4x0.8,metal_pen_4x0.8,size,metal_pen_4x0.8
14,PIXATT.014,size,1072,decorated_pen_4x0.8,decorated_pen_4x0.8,size,decorated_pen_4x0.8
14,PIXATT.014,size,1073,work_tag_1.9x1.9,work_tag_1.9x1.9,size,work_tag_1.9x1.9
14,PIXATT.014,size,1074,backpack_9x10,backpack_9x10,size,backpack_9x10
14,PIXATT.014,size,1075,notebook_hardcover_9.5x10,notebook_hardcover_9.5x10,size,notebook_hardcover_9.5x10
14,PIXATT.014,size,1076,pocket_mirror_4.5x4.5,pocket_mirror_4.5x4.5,size,pocket_mirror_4.5x4.5
14,PIXATT.014,size,1077,bottle_opener_4x0.9,bottle_opener_4x0.9,size,bottle_opener_4x0.9
14,PIXATT.014,size,1078,sport_towel_3x5,sport_towel_3x5,size,sport_towel_3x5
14,PIXATT.014,size,1079,steel_bottle_3x8,steel_bottle_3x8,size,steel_bottle_3x8
14,PIXATT.014,size,1080,plastic_bottle_4x7,plastic_bottle_4x7,size,plastic_bottle_4x7
14,PIXATT.014,size,1081,plastic_straw_cup_4x7,plastic_straw_cup_4x7,size,plastic_straw_cup_4x7
14,PIXATT.014,size,1082,thermal_mug_3.5x4,thermal_mug_3.5x4,size,thermal_mug_3.5x4
14,PIXATT.014,size,1083,reflective_ruler_12x2,reflective_ruler_12x2,size,reflective_ruler_12x2
14,PIXATT.014,size,1084,passport_cover_5x8,passport_cover_5x8,size,passport_cover_5x8
14,PIXATT.014,size,1085,luggage_tag_6x3,luggage_tag_6x3,size,luggage_tag_6x3
14,PIXATT.014,size,1136,shirt_a4,shirt_9x9,size,shirt_a4
14,PIXATT.014,size,1137,shirt_9x9,shirt_9x9,size,shirt_9x9
14,PIXATT.014,size,1151,beach_towel_6x6,beach_towel_6x6,size,beach_towel_6x6
14,PIXATT.014,size,1155,led_desk_lamp_6x3,led_desk_lamp_6x3,size,led_desk_lamp_6x3
14,PIXATT.014,size,1157,frisbee_circle_10x10,frisbee_circle_10x10,size,frisbee_circle_10x10
14,PIXATT.014,size,1160,hand_fan_9x1.3,hand_fan_9x1.3,size,hand_fan_9x1.3
14,PIXATT.014,size,1164,large_backpack_15x8,large_backpack_15x8,size,large_backpack_15x8
14,PIXATT.014,size,1202,matkot_circle_13x13,matkot_circle_13x13,size,matkot_circle_13x13
14,PIXATT.014,size,1203,beach_tent,beach_tent,size,beach_tent
14,PIXATT.014,size,1204,silicon_ring_bottle_5x4,silicon_ring_bottle_5x4,size,silicon_ring_bottle_5x4
14,PIXATT.014,size,1205,plastic_bubble_cup_10x5,plastic_bubble_cup_10x5,size,plastic_bubble_cup_10x5
14,PIXATT.014,size,1206,cellphone_battery,cellphone_battery,size,cellphone_battery
14,PIXATT.014,size,1207,neck_fan,neck_fan,size,neck_fan
14,PIXATT.014,size,1208,personal_cooler_40x65,personal_cooler_40x65,size,personal_cooler_40x65
14,PIXATT.014,size,1209,bath_speaker_13x20,bath_speaker_13x20,size,bath_speaker_13x20
14,PIXATT.014,size,1210,keychain_led_light_15x45,keychain_led_light_15x45,size,keychain_led_light_15x45
14,PIXATT.014,size,1211,memo_holder_35x70,memo_holder_35x70,size,memo_holder_35x70
14,PIXATT.014,size,1212,velvet_pen_8x40,velvet_pen_8x40,size,velvet_pen_8x40
14,PIXATT.014,size,1217,paper_cup_20.5x9.3,paper_cup_20.5x9.3,size,paper_cup_20.5x9.3
14,PIXATT.014,size,1218,wine_bottle_90x105,wine_bottle_90x105,size,wine_bottle_90x105
14,PIXATT.014,size,1255,hardcover_printed_notebook_a4,hardcover_printed_notebook_a5,size,hardcover_printed_notebook_a4
14,PIXATT.014,size,1256,hardcover_printed_notebook_a5,hardcover_printed_notebook_a5,size,hardcover_printed_notebook_a5
14,PIXATT.014,size,1287,baseball_cap_110x55,baseball_cap_110x55,size,baseball_cap_110x55
14,PIXATT.014,size,1297,trucker_cap_110x70,trucker_cap_110x70,size,trucker_cap_110x70
14,PIXATT.014,size,1311,bucket_hat_80x50,bucket_hat_80x50,size,bucket_hat_80x50
14,PIXATT.014,size,1325,block_size_a6_v,block_size_a5_v,size,block_size_a6_v
14,PIXATT.014,size,1334,brochure_a4,brochure_a4,size,brochure_a4
14,PIXATT.014,size,1335,brochure_a3_folded,brochure_a3_folded,size,brochure_a3_folded
14,PIXATT.014,size,1336,shape_cut_5x5,shape_cut_5x5,size,shape_cut_5x5
14,PIXATT.014,size,1337,shape_cut_10x10,shape_cut_5x5,size,shape_cut_10x10
14,PIXATT.014,size,1338,shape_cut_15x15,shape_cut_5x5,size,shape_cut_15x15
14,PIXATT.014,size,1339,plotter_cutting_55x100,plotter_cutting_a4,size,plotter_cutting_55x100
14,PIXATT.014,size,1340,plotter_cutting_a3,plotter_cutting_a4,size,plotter_cutting_a3
14,PIXATT.014,size,1341,plotter_cutting_a4,plotter_cutting_a4,size,plotter_cutting_a4
14,PIXATT.014,size,1342,vinyl_letters_a3,vinyl_letters_a4,size,vinyl_letters_a3
14,PIXATT.014,size,1343,vinyl_letters_a4,vinyl_letters_a4,size,vinyl_letters_a4
14,PIXATT.014,size,1344,car_sticker_a3,car_sticker_a3,size,car_sticker_a3
14,PIXATT.014,size,1345,sticker_rectangle_10x5,sticker_circle_3,size,sticker_rectangle_10x5
14,PIXATT.014,size,1346,sticker_rectangle_16x6,sticker_circle_3,size,sticker_rectangle_16x6
14,PIXATT.014,size,1347,sticker_rectangle_24x6,sticker_circle_3,size,sticker_rectangle_24x6
14,PIXATT.014,size,1348,sticker_ellipse_10x5,sticker_circle_3,size,sticker_ellipse_10x5
14,PIXATT.014,size,1349,sticker_hexagon_5x5,sticker_circle_3,size,sticker_hexagon_5x5
14,PIXATT.014,size,1350,sticker_label_7x5,sticker_circle_3,size,sticker_label_7x5
14,PIXATT.014,size,1351,sticker_star_5x5,sticker_circle_3,size,sticker_star_5x5
14,PIXATT.014,size,1352,canvas_20x30,canvas_20x30,size,canvas_20x30
14,PIXATT.014,size,1353,canvas_30x45,canvas_20x30,size,canvas_30x45
14,PIXATT.014,size,1355,canvas_50x70,canvas_20x30,size,canvas_50x70
14,PIXATT.014,size,1356,canvas_60x80,canvas_20x30,size,canvas_60x80
14,PIXATT.014,size,1357,canvas_70x100,canvas_20x30,size,canvas_70x100
14,PIXATT.014,size,1358,canvas_30x30,canvas_20x30,size,canvas_30x30
14,PIXATT.014,size,1359,canvas_40x40,canvas_20x30,size,canvas_40x40
14,PIXATT.014,size,1365,softshell_jacket_8x8,softshell_jacket_8x8,size,softshell_jacket_8x8
14,PIXATT.014,size,1366,kappa_poster_a4,kappa_poster_a4,size,kappa_poster_a4
14,PIXATT.014,size,1367,kappa_poster_a3,kappa_poster_a4,size,kappa_poster_a3
14,PIXATT.014,size,1368,kappa_poster_50x70,kappa_poster_a4,size,kappa_poster_50x70
14,PIXATT.014,size,1369,kappa_poster_60x80,kappa_poster_a4,size,kappa_poster_60x80
14,PIXATT.014,size,1370,kappa_poster_70x100,kappa_poster_a4,size,kappa_poster_70x100
14,PIXATT.014,size,1371,kappa_poater_30x30,kappa_poster_a4,size,kappa_poater_30x30
14,PIXATT.014,size,1372,kappa_poster_40x40,kappa_poster_a4,size,kappa_poster_40x40
14,PIXATT.014,size,1373,wireless_headphones_45x50,wireless_headphones_45x50,size,wireless_headphones_45x50
14,PIXATT.014,size,1374,cotton_string_backpack_200x200,cotton_string_backpack_200x200,size,cotton_string_backpack_200x200
14,PIXATT.014,size,1375,cotton_bag_210x297,cotton_bag_210x297,size,cotton_bag_210x297
14,PIXATT.014,size,1376,shopping_bag_210x297,shopping_bag_210x297,size,shopping_bag_210x297
14,PIXATT.014,size,1377,premium_steel_bottle_50x50,premium_steel_bottle_50x50,size,premium_steel_bottle_50x50
14,PIXATT.014,size,1378,personal_fitness_kit_40x35,personal_fitness_kit_40x35,size,personal_fitness_kit_40x35
14,PIXATT.014,size,1379,premium_plastic_bottle_50x70,premium_plastic_bottle_50x70,size,premium_plastic_bottle_50x70
